Scientific.Name	countsMT	countsPT	palm	hasEctoparasite	hasEndoparasite	hostOf	isEatenBy	mutualisticWith	parasiteOf	parasitizedBy	symbiontOf	trophic.guild.x	life.span	ecoregion	photosynthetic.rate	locomotion	shade.tolerance	plant.growth.form	grass.growth.type	life.cycle.habit	Mating.System	calcareous.soil.tolerance	growth.rate	eats	motility	ectoparasite.of	ecomorphological.guild	salt.tolerance	drought.tolerance	tissue.contains	germination.requirements	fire.tolerance	developmental.mode	reproduction	Social.System	basal.metabolic.rate	nitrogen.fixation	plant.lifeform	sexual.system	parasitoid.of	pH	number.of.hosts	leaf.morphology	endoparasite.of	photosynthetic.pathway	propagule	anaerobic.soil.tolerance	trophic.level	sexually.dimorphic	litters.per.year	woodiness	has.host	dispersal.age	trophic.guild.y	Ancestry	toleranceGeneral	aquatics	dependency	advancedPhotPathway	unicellularity	HasMSH1	gsize	GCperc	NCBIcount	name	preferred.name	taxid	isEndoparasite	isEctoparasite	water	migration	thermalBiology	hostAge	waveExposed	habitat	intertidal
biomphalaria glabrata	13				hasEndoparasite	hostOf		mutualisticWith		parasitizedBy	symbiontOf																																												Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Spiralia | Mollusca | Cephalopoda | Coleoidea | Neocoleoidea | Decapodiformes | Decapodida | Myopsida | Loliginidae | Sepioteuthis			depend		multicellular		0.01367	25.3694	13	biomphalaria glabrata	biomphalaria glabrata	6526								tropical	
biomphalaria pfeifferi	13					hostOf				parasitizedBy	symbiontOf																																												Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Reptilia | Diapsida | Archosauromorpha | Archosauria | Dinosauria | Saurischia | Theropoda | Tetanurae | Coelurosauria | Maniraptoriformes | Maniraptora | Paraves | Aves | Ornithurae | Neornithes | Neognathae | Neoaves | landbirds | Passeriformes | Oscines | Troglodytidae | Pheugopedius			depend		multicellular		0.013624	23.3558	13	biomphalaria pfeifferi	biomphalaria pfeifferi	112525								coastal	
biomphalaria straminea	13					hostOf				parasitizedBy																																													Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Spiralia | Mollusca | Gastropoda | unclassified Gastropoda | Lymnaeoidea | Planorbidae | Biomphalaria			depend		multicellular		0.01365	24.7033	13	biomphalaria straminea	biomphalaria straminea	112526								freshwater	
biomphalaria sudanica	13							mutualisticWith			symbiontOf														actively mobile																														Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Spiralia | Mollusca | Gastropoda | unclassified Gastropoda | Lymnaeoidea | Planorbidae | Biomphalaria			depend		multicellular		0.013671	23.4072	13	biomphalaria sudanica	biomphalaria sudanica	112527								freshwater	
biomphalaria tenagophila	13																																																						Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Spiralia | Mollusca | Gastropoda | unclassified Gastropoda | Lymnaeoidea | Planorbidae | Biomphalaria					multicellular		0.013722	24.2166	13	biomphalaria tenagophila	biomphalaria tenagophila	112528								subtropical	
bipalium kewense	12																																																						Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Spiralia | Platyhelminthes | Rhabditophora | Tricladida | Geoplanoidea | Geoplanidae					multicellular		0.015666	22.801	12	bipalium kewense	bipalium kewense	66750								temperate	
bipes biporus	13							mutualisticWith			symbiontOf			Baja California desert											actively mobile		fossorial																												Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Spiralia | Mollusca | Bivalvia | Pectinida | Pectinoidea | Pectinidae | Bractechlamys			depend		multicellular		0.016412	46.8803	13	bipes biporus	bipes biporus	52188								marine	
bipes canaliculatus	13													Balsas dry forests											actively mobile		fossorial																												Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Spiralia | Mollusca | Bivalvia | Pectinida | Pectinoidea | Pectinidae | Bractechlamys					multicellular		0.0162	48.4568	13	bipes canaliculatus	bipes canaliculatus	273521								marine	
bipes tridactylus	13													Southern Pacific dry forests											actively mobile		fossorial																												Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Spiralia | Mollusca | Bivalvia | Pectinida | Pectinoidea | Pectinidae | Bractechlamys					multicellular		0.016222	44.3102	13	bipes tridactylus	bipes tridactylus	273520								marine	
bipolaris cookei	13							mutualisticWith			symbiontOf																																												Life | Cellular | Eukaryota | Opisthokonta | Nucletmycea | Fungi | Dikarya | Ascomycota | Dothideomycetes | Pleosporales | Pleosporaceae | Bipolaris			depend		multicellular		0	0	0	bipolaris cookei	bipolaris cookei	74410									
birgus latro	13																							eats	actively mobile		epifaunal			calcium phosphate																									Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Pancrustacea | Multicrustacea | Malacostraca | Eumalacostraca | Eucarida | Decapoda | Paguroidea | Diogenidae | Birgus					multicellular		0.016411	34.355	13	birgus latro	birgus latro	177283								marine	
bironella hollandi	13																																																											multicellular		0.015772	20.4159	13	bironella hollandi	bironella hollandi	59138									
bison bison	13				hasEndoparasite	hostOf	isEatenBy	mutualisticWith		parasitizedBy			300	South Central Rockies forests							Not Monogamous				actively mobile		fossorial and_or ground dwelling							viviparous	Social Group Living													herbivore		1					Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Chondrichthyes | Elasmobranchii | Selachii | Hybodontiformes | Hybodontidae | Priohybodus			depend		multicellular		0.016319	39.1568	13	bison bison	bison bison	9901								marine	
